,epoch,train_loss,train_accuracy,train_f1,valid_loss,valid_accuracy,valid_f1
0,1,3.837087159229414,0.09377481340320788,0.08797840609407274,2.716290831565857,0.28,0.24343635375706987
1,2,2.970390163702408,0.22296331586469748,0.2118449492332501,2.153708040714264,0.428,0.3852809698213723
2,3,2.545323962487545,0.31284738764491027,0.3027851418141231,1.806035116314888,0.482,0.4577509973686444
3,4,2.2912992656533486,0.37708432586946167,0.36843523089450153,1.5874554067850113,0.576,0.5592196344247428
4,5,2.0624624829606963,0.4291726218834366,0.4236384598396112,1.4040212780237198,0.644,0.6351674198918444
5,6,1.909101720993894,0.46792123233285693,0.4623803929848381,1.2622055336833,0.65,0.626957555516379
6,7,1.8252420909513676,0.4883277751310148,0.48315611952519455,1.187051273882389,0.664,0.649965007215007
7,8,1.6805301989395607,0.5243766873114182,0.5204324309275766,1.1297982707619667,0.698,0.6841007647323437
8,9,1.6100917921453564,0.5400190566936637,0.5337190698165363,1.0845321044325829,0.726,0.7222072372072371
9,10,1.538105953163302,0.5677306653962204,0.5616101949571721,1.002561591565609,0.734,0.7266727161727162
10,11,1.4916128277173502,0.5750357313006194,0.5715676843617618,0.9631915092468262,0.728,0.7150461482961482
11,12,1.3988976000529256,0.5998094330633635,0.595431739594556,0.9343603476881981,0.728,0.7136158286158287
12,13,1.3678629779573626,0.6020327139907893,0.5974875404595518,0.9061525464057922,0.744,0.73574777999778
13,14,1.3436158302471723,0.6132285215181833,0.6083375725056588,0.9084074944257736,0.74,0.732102453102453
14,15,1.298285578108076,0.6230744799110688,0.6188858074153916,0.8469866141676903,0.738,0.7322439227439227
15,16,1.237803321804492,0.6438780371605527,0.6385529169460799,0.8493455350399017,0.762,0.755445387945388
16,17,1.2506660180648572,0.6388756550738447,0.6369672562541688,0.7734351791441441,0.78,0.7710934620934622
17,18,1.1672238934463657,0.6613466730188979,0.656509922687562,0.7859020121395588,0.772,0.7591485736485736
18,19,1.1419695482641308,0.6665872637764014,0.6632891206924937,0.7714479565620422,0.776,0.763759768009768
19,20,1.155479582433168,0.6589645863109417,0.6567431575540782,0.7322837561368942,0.79,0.7844445554445555
20,21,1.108366768674802,0.6734159123392092,0.6713621345903761,0.7790726572275162,0.798,0.7923607634195869
21,22,1.1041660777808446,0.6811179926949341,0.6793874404748574,0.7447481341660023,0.774,0.7620166777666778
22,23,1.054504011488203,0.6950929013816103,0.6934173627471221,0.7726765349507332,0.776,0.7654431124431124
23,24,1.0636965910795377,0.6895346990630459,0.6858230441419857,0.7234190106391907,0.794,0.7856968489027313
24,25,1.0293085717307735,0.6974749880895664,0.6964149252928147,0.703748807311058,0.804,0.7988603063603062
25,26,1.0256089789008127,0.7004128950293791,0.6994959006709368,0.6726950444281101,0.806,0.8009069819069821
26,27,1.017330336086641,0.697713196760362,0.6939972135203889,0.6734125129878521,0.804,0.7950361860361858
27,28,0.9994729835974988,0.7056534857868827,0.7038202064219496,0.6675365343689919,0.814,0.807322927072927
28,29,0.9540799703392281,0.7152612355089726,0.7110841996128856,0.6874768175184727,0.796,0.7877107892107893
29,30,0.9445889540735235,0.7194695886930285,0.7189993642459523,0.7024893052875996,0.802,0.7926696636696636
30,31,0.9514670889389697,0.7159758615213594,0.7137857323193211,0.6901757456362247,0.82,0.8125972360972359
31,32,0.9423244350452713,0.7197077973638241,0.7197725488363703,0.6711984276771545,0.812,0.8071489621489621
32,33,0.9070900220253746,0.7283627124027314,0.7268389773958198,0.6921396180987358,0.816,0.8099749694749697
33,34,0.8943173027583186,0.7322534540257265,0.7305433417451189,0.6537801176309586,0.816,0.8097682317682318
34,35,0.8943408614185255,0.72971256153724,0.7279604431446873,0.6672995574772358,0.81,0.804235986235986
35,36,0.9039038605798925,0.7320946482451961,0.731500642625511,0.6737365387380123,0.806,0.795915375474199
36,37,0.8771080917815872,0.7334444973797046,0.7316551392218578,0.6861793994903564,0.816,0.8091336441336441
37,38,0.8634654120140269,0.7431316499920597,0.7408803266838605,0.6503601521253586,0.822,0.8186850926850928
38,39,0.8365604891087198,0.7451961251389551,0.7439621578181395,0.644689753651619,0.822,0.81813764013764
39,40,0.8312973690214496,0.7474194060663808,0.7456903697803955,0.6219192259013653,0.82,0.8141311466311464
40,41,0.8358909036907448,0.746307765602668,0.744720919735386,0.627512987703085,0.83,0.8235470085470085
41,42,0.8120783768632085,0.7572653644592663,0.754751182224672,0.6452888660132885,0.816,0.8112915140415139
42,43,0.7941159970566706,0.7621089407654439,0.7600932025441243,0.6276190392673016,0.824,0.8173933843933845
43,44,0.8132604849217507,0.7577417818008576,0.7569778918415774,0.5983674116432667,0.83,0.8241706626706624
44,45,0.8305079200243587,0.7522629823725584,0.7521619923072262,0.565870612859726,0.836,0.8325578033078033
45,46,0.7929898489852847,0.7631411783388915,0.7608760738958678,0.5828142836689949,0.852,0.8464102564102564
46,47,0.7821491631457043,0.7654438621565824,0.7632003092958868,0.5930384434759617,0.836,0.830581252081252
47,48,0.754683599708044,0.7715578847070034,0.7691051089665727,0.5811189524829388,0.85,0.8467835775335776
48,49,0.7625789985741456,0.7690963951087819,0.7682898493090927,0.6153539344668388,0.82,0.8132160617160616
49,50,0.7551348691966933,0.7728283309512466,0.772060280536704,0.6416447758674622,0.826,0.8197789987789987
50,51,0.7567876861785269,0.7680641575353343,0.7663245547624303,0.6282439939677715,0.836,0.8332634032634032
51,52,0.7515575318469614,0.7705256471335556,0.7684591611530587,0.6464655287563801,0.84,0.8351443556443556
52,53,0.7353302906007331,0.7743369858662855,0.7736069833095668,0.6383985877037048,0.84,0.835924963924964
